Dataset,PipeA_F1,PipeB_F1,PipeA_SMOTE_F1,PipeA_Weight_F1,PipeA_L1_F1,PipeA_L2_F1,PipeB_SMOTE_F1,PipeB_Weight_F1,PipeB_L1_F1,PipeB_L2_F1
BEED Bangalore EEG Epilepsy Dataset,0.8850148367952523,0.8882309400444115,0.7089446284902982,0.7181647940074907,0.8850148367952523,0.8850148367952523,0.8800325335502237,0.8814245244840145,0.8879023307436182,0.8882309400444115
Epileptic_Seizure_Recognition,0.9095022624434389,0.9082672706681767,0.898043254376931,0.8959835221421215,0.9082672706681767,0.8747300215982722,0.9010309278350516,0.9038262668045501,0.9072398190045249,0.9082672706681767
EEG Seizure Analysis Dataset,0.3706896551724138,0.3451202263083451,0.3706896551724138,0.3702602230483271,0.005479452054794521,0.01639344262295082,0.3446327683615819,0.3451202263083451,0.0,0.0
